ArttÄ±rÄ±labilir Azami Bellek,Arttırılabilir Azami Bellek,BaÄŸlantÄ±lar,Bağlantılar,Bağlantılar (İkincil),Beden,Cihaz AÄŸÄ±rlÄ±ÄŸÄ±,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran KartÄ±,Ekran KartÄ± Bellek Tipi,Ekran KartÄ± HafÄ±zasÄ±,Ekran KartÄ± Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Özelliği,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,KullanÄ±m AmacÄ±,Kullanım Amacı,Maksimum Ä°ÅŸlemci HÄ±zÄ± (GHz),Maksimum İşlemci Hızı (GHz),Okula DÃ¶nÃ¼ÅŸ,Okula Dönüş,Optik SÃ¼rÃ¼cÃ¼ Tipi,Optik Sürücü Tipi,Panel Tipi,Power Supply,Ram (Sistem BelleÄŸi),Ram (Sistem BelleÄŸi) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel Ä°ÅŸlemci HÄ±zÄ± (GHz),Temel İşlemci Hızı (GHz),Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k StandartÄ±,Ä°ÅŸlemci FrekansÄ±,Ä°ÅŸlemci Modeli,Ä°ÅŸlemci Nesli,Ä°ÅŸlemci Tipi,Ä°ÅŸlemci Ã‡ekirdek SayÄ±sÄ±,Ä°ÅŸletim Sistemi,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,,,8 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//hp/250-g8-core-i5-1135g7-islemci-8gb-ram-256gb-ssd-15-6-fhd-freedos-laptop-komur-grisi-853u8es-p-773440890?boutiqueId=61&merchantId=275331,10.499 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ev - Okul,,4.3,,,,,TN,,,,16 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//lenovo/ideapad-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-82r4006ftra38-p-752653765?boutiqueId=631546&merchantId=155616,13.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//casper/nirvana-c370-4020-4c00b-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-p-358003688?boutiqueId=61&merchantId=129813,6.939 TL
,,,HDMI,,,,,,,,,,,AMD Radeon RX 550,GDDR5,4 GB,Harici,,,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,Q Türkçe,,Oyun,,,,,,Yok,VA,500 W ve üstü,,,32 GB,,,256 GB,,,,2.9,,,,,,,,,,1920 x 1080,Full HD (FHD),2.50 GHz - 3.00 GHz,X5660,Belirtilmemiş,Intel Xeon,6,Free Dos,,https://www.trendyol.com//ramtech/fullforce-ff60-intel-x5670-32gb-ram-256gb-ssd-rx550-4gb-23-6-oyuncu-pc-p-344066238?boutiqueId=61&merchantId=187272&advertItems=eyJhZHZlcnRJZCI6ImU4YmE1NjVhLWQ5ZTItNDJlOC1iOWU2LTY4NTNiMWFjZjViMyIsInNvcnRpbmdTY29yZSI6MC4xNTYxMTA1NjQ0NzAyOTExNSwiYWRTY29yZSI6MC4wODA2MzU2MjIxNDM3NDU0MiwiYWRTY29yZXMiOnsiMSI6MC4wODA2MzU2MjIxNDM3NDU0MiwiMiI6MC4wODA2MzU2MjIxNDM3NDU0Mn0sImNwYyI6MS45MzYwMDAwMDAwMDAwMDAyLCJtaW5DcGMiOjAsImVDcGMiOjEuNTMwOTI0NTc1MDI5NzIwMiwiYWR2ZXJ0U2xvdCI6MSwib3JkZXIiOjMsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,11.999 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,,,4 GB,DDR4,Gri,SSD Yok,,,,,,,,,,,,,,1366 x 768,HD Ready (HD),,N4120,4. Nesil,Intel Celeron,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad1-intel-celeron-n4120-4gb-128gb-emmc-dos-15-6-cloud-grey-laptop-lenovo-turkiye-garantili-p-652489295?boutiqueId=626264&merchantId=200893,6.579 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,SD,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,3.5,,,,,TN,,,,8 GB,LPDDR5,Gri,256 GB,,,,2.4,,,,,,,,,,1920 x 1080,Full HD (FHD),,Belirtilmemiş,7. Nesil,AMD Athlon,2,Free Dos,,https://www.trendyol.com//lenovo/v15-82yu00metx-7120u-8gb-256ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-744832721?boutiqueId=626264&merchantId=514546,8.199 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//monster/abra-a7-v13-3-4-intel-core-i7-11800h-32gb-1-tb-ssd-rtx3050ti-freedos-17-3-fhd-p-738620917?boutiqueId=61&merchantId=105286,29.999 TL
,,,HDMI,,Tek Ebat,,4 kg ve Üstü,,"24"" / 61 Ekran",,,,,Nvidia GeForce RTX 2060,GDDR6,6 GB,Harici,,,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,Q Türkçe,,Oyun,,,,,,Yok,,500 W ve üstü,,,16 GB,DDR4,,512 GB,,,,2.9,,,,,,,,,,1920 x 1080,,3.00 GHz üstü,10400F,10. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//izoly/streamer-i5-10400f-16gb-512gb-m-2-nvme-rtx2060-6gb-24-24-oyuncu-masaustu-bilgisayari-p-664199089?boutiqueId=61&merchantId=123676&advertItems=eyJhZHZlcnRJZCI6IjYyNzQ5OTI0LThhMWQtNGQ2Zi05OTM5LWFiMDdjOThkNWRhZSIsInNvcnRpbmdTY29yZSI6MC4xMjE4MzQzNTEyNTY0ODk3NywiYWRTY29yZSI6MC4wNjM2NTQzMTEwMDEzMDA4MSwiYWRTY29yZXMiOnsiMSI6MC4wNjM2NTQzMTEwMDEzMDA4MSwiMiI6MC4wNjM2NTQzMTEwMDEzMDA4MX0sImNwYyI6MS45MTQwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuMzk5MjcxNzY0OTcyMjUyMSwiYWR2ZXJ0U2xvdCI6Miwib3JkZXIiOjcsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,"25.017,14 TL"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//monster/abra-a5-v16-8-intel-core-i7-11800h-16-gb-ram-500-gb-ssd-4-gb-gtx-1650-freedos-15-6-fhd-144-hz-p-748917445?boutiqueId=623361&merchantId=968,24.999 TL
,,,Bluetooth - HDMI,,,,2 kg ve Altı,Yok,14 inç,,,,,Intel Iris Graphics,DDR,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Huawei Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,,,,,,,,,,8 GB,LPDDR4,Gri,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1155G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//huawei/matebook-d14-intel-core-i5-1155g7-8gb-512gb-ssd-14-w11-dizustu-bilgisayar-huawei-turkiye-garanti-p-664355420?boutiqueId=623361&merchantId=968,14.999 TL
